overall_rank,div_rank,Nombre,Apellido,Categoria,tiempo oficial,tiempo neto,sexo,bib,nationality,swim,bike,run_first,run_last
244,39 / 81,Valbruni Edgar,,25-29 M,00:56:47,00:52:01,,1155,,,,,
245,32 / 68,German Schmidt,,40-44 M,00:52:29,00:52:02,,289,,,,,
246,32 / 77,Lopez Victor Ariel,,30-34 M,00:53:30,00:52:11,,754,,,,,
247,21 / 53,Becquart Emmanuel,,45-49 M,00:52:31,00:52:12,,759,,,,,
248,40 / 81,Matias Isella,,25-29 M,00:52:34,00:52:13,,439,,,,,
249,22 / 53,Pablo Rios,,45-49 M,00:52:18,00:52:14,,635,,,,,
250,33 / 77,De Leon Sebastian,,30-34 M,00:53:27,00:52:15,,218,,,,,
251,34 / 77,Alejandro Padula,,30-34 M,00:52:36,00:52:16,,581,,,,,
252,35 / 77,Guillermo Ferrero,,30-34 M,00:52:30,00:52:17,,146,,,,,
253,11 / 39,Castaño Villalba Jazmin,,35-39 F,00:52:34,00:52:18,,219,,,,,
254,8 / 27,Piterman Gustavo Andrés,,50-54 M,00:52:29,00:52:20,,1266,,,,,
255,1 / 7,Leguizamon Hugo Osvaldo,,70-74 M,00:52:42,00:52:21,,1204,,,,,
256,2 / 17,Rodil Claudia,,50-54 F,00:52:28,00:52:26,,1193,,,,,
257,35 / 70,Tosi Marcelo,,35-39 M,00:52:34,00:52:28,,846,,,,,
258,41 / 81,Agustin Lyonnet,,25-29 M,00:53:17,00:52:29,,110,,,,,
259,42 / 81,Urbina Pablo Ezequiel,,25-29 M,00:52:30,00:52:30,,185,,,,,
260,12 / 39,Perassi Maria Luisa,,35-39 F,00:52:54,00:52:35,,783,,,,,
261,36 / 70,Pian Jorge,,35-39 M,00:53:41,00:52:38,,500,,,,,
262,9 / 27,Dick Javier,,50-54 M,00:52:58,00:52:39,,197,,,,,
263,18 / 47,Matias Alejandro Bertoli,,18-24 M,00:52:55,00:52:40,,461,,,,,
264,5 / 15,Ciocoletto Rodolfo Manuel,,60-64 M,00:52:56,00:52:40,,1254,,,,,
265,19 / 47,Amado Edison,,18-24 M,00:52:51,00:52:42,,1210,,,,,
266,33 / 68,Gonzalez Juan Carlos,,40-44 M,00:53:55,00:52:42,,1301,,,,,
267,37 / 70,Mas Gabriel,,35-39 M,00:53:14,00:52:43,,732,,,,,
268,36 / 77,Merlonghi Federico,,30-34 M,00:53:08,00:52:46,,180,,,,,
269,34 / 68,Alvarez Rodrigo,,40-44 M,00:52:53,00:52:48,,815,,,,,
270,20 / 47,Bruno Gennari,,18-24 M,00:53:45,00:52:53,,882,,,,,
271,37 / 77,Rodriguez Marcelo,,30-34 M,00:53:45,00:52:54,,1316,,,,,
272,38 / 77,Maceiras Mariano,,30-34 M,00:54:35,00:52:56,,20,,,,,
273,6 / 15,Daniel Rossi,,60-64 M,00:53:02,00:52:57,,398,,,,,
274,13 / 39,Griselda Basabilvaso,,35-39 F,00:53:10,00:52:57,,69,,,,,
275,6 / 35,Gregorchuk Daniela,,30-34 F,00:54:54,00:52:57,,1262,,,,,
276,23 / 53,Miguel Angel Aguada,,45-49 M,00:53:49,00:52:58,,339,,,,,
277,10 / 27,Horacio Colavino,,50-54 M,00:54:53,00:52:58,,88,,,,,
278,1 / 5,Gascon Maria Jose,,55-59 F,00:53:34,00:53:00,,664,,,,,
279,39 / 77,Piscitelli Martin,,30-34 M,00:54:08,00:53:00,,1302,,,,,
